# # TCV-phi : P(k) et transfert fuzzy pour PAPER I
# # colonnes : k[h/Mpc]   P_cdm(k)   P_eff(k)   T2(k)=P_eff/P_cdm
# # Paramètres TCV : {'H0': 67.4, 'ombh2': 0.0224, 'omch2': 0.12, 'As': 2.1e-09, 'ns': 0.964, 'r': 0.0, 'tau': 0.054, 'YHe': 0.245}
# # Fuzzy : kJ=5.0 h/Mpc, n=4, f_coh=1.0
# 
2.893596087757919762e-04 1.646959809933968927e+03 1.646959809933968927e+03 1.000000000000000000e+00
2.975644271034250002e-04 1.691854967036928883e+03 1.691854967036928883e+03 1.000000000000000000e+00
3.060018938095734734e-04 1.737968316295495697e+03 1.737968316295495697e+03 1.000000000000000000e+00
3.146786056604133539e-04 1.785332491850653696e+03 1.785332491850653696e+03 1.000000000000000000e+00
3.236013464740323197e-04 1.833980921985927580e+03 1.833980921985927580e+03 1.000000000000000000e+00
3.327770924243050009e-04 1.883947881312371464e+03 1.883947881312371464e+03 1.000000000000000000e+00
3.422130174951568647e-04 1.935268533884838234e+03 1.935268533884838234e+03 1.000000000000000000e+00
3.519164990894887274e-04 1.987978955342000063e+03 1.987978955342000063e+03 1.000000000000000000e+00
3.618951237971381667e-04 2.042116155515129776e+03 2.042116155515129776e+03 1.000000000000000000e+00
3.721566933263969514e-04 2.097718101560644754e+03 2.097718101560644754e+03 1.000000000000000000e+00
3.827092306037115934e-04 2.154823741627259096e+03 2.154823741627259096e+03 1.000000000000000000e+00
3.935609860463478099e-04 2.213473018473815500e+03 2.213473018473815500e+03 1.000000000000000000e+00
4.047204440129107089e-04 2.273706753654178101e+03 2.273706753654178101e+03 1.000000000000000000e+00
4.161963294367740547e-04 2.335566694238424134e+03 2.335566694238424134e+03 1.000000000000000000e+00
4.279976146476014809e-04 2.399095634964104647e+03 2.399095634964104647e+03 1.000000000000000000e+00
4.401335263862879606e-04 2.464337445002595814e+03 2.464337445002595814e+03 1.000000000000000000e+00
4.526135530188171935e-04 2.531337092875356575e+03 2.531337092875356575e+03 1.000000000000000000e+00
4.654474519546612679e-04 2.600140671871586619e+03 2.600140671871586619e+03 1.000000000000000000e+00
4.786452572755376072e-04 2.670795425974663885e+03 2.670795425974663885e+03 1.000000000000000000e+00
4.922172875804718944e-04 2.743349777914492734e+03 2.743349777914492734e+03 1.000000000000000000e+00
5.061741540533162961e-04 2.817853424685132268e+03 2.817853424685132268e+03 1.000000000000000000e+00
5.205267687590160773e-04 2.894357399587344389e+03 2.894357399587344389e+03 1.000000000000000000e+00
5.352863531751215782e-04 2.972914021418634547e+03 2.972914021418634547e+03 1.000000000000000000e+00
5.504644469652128546e-04 3.053576918039285374e+03 3.053576918039285374e+03 1.000000000000000000e+00
5.660729170010922852e-04 3.136401056875744416e+03 3.136401056875744416e+03 1.000000000000000000e+00
5.821239666408027039e-04 3.221442776054430851e+03 3.221442776054430851e+03 1.000000000000000000e+00
5.986301452697270807e-04 3.308759816176332151e+03 3.308759816176332151e+03 1.000000000000000000e+00
6.156043581122273281e-04 3.398411351404455218e+03 3.398411351404455218e+03 1.000000000000000000e+00
6.330598763214865653e-04 3.490457418066806895e+03 3.490457418066806895e+03 1.000000000000000000e+00
6.510103473554603023e-04 3.584957892757846366e+03 3.584957892757846366e+03 1.000000000000000000e+00
6.694698056470278335e-04 3.681973686271646784e+03 3.681973686271646784e+03 1.000000000000000000e+00
6.884526835767039096e-04 3.781566993721791277e+03 3.781566993721791277e+03 1.000000000000000000e+00
7.079738227564816300e-04 3.883801311611477558e+03 3.883801311611477558e+03 1.000000000000000000e+00
7.280484856336281660e-04 3.988741454681083269e+03 3.988741454681083269e+03 1.000000000000000000e+00
7.486923674235051616e-04 4.096453572506872661e+03 4.096453572506872661e+03 1.000000000000000000e+00
7.699216083807498747e-04 4.207005165823723473e+03 4.207005165823723473e+03 1.000000000000000000e+00
7.917528064184070451e-04 4.320465386541130101e+03 4.320465386541130101e+03 1.000000000000000000e+00
8.142030300848695969e-04 4.436906304205829656e+03 4.436906304205829656e+03 1.000000000000000000e+00
8.372898319087937642e-04 4.556402077739830020e+03 4.556402077739830020e+03 1.000000000000000000e+00
